Habit,Date,Value,Unit,Memo,Tag,Habit Type
Exercise for 20 minutes,8/5/24,0,min,,,Build
Exercise for 20 minutes,8/6/24,20,min,,,Build
Exercise for 20 minutes,8/7/24,20,min,,,Build
Exercise for 20 minutes,8/8/24,20,min,,,Build
Exercise for 20 minutes,8/13/24,20,min,,,Build
Exercise for 20 minutes,8/14/24,20,min,,,Build
Exercise for 20 minutes,8/16/24,20,min,,,Build
Exercise for 20 minutes,8/17/24,20,min,,,Build
Exercise for 20 minutes,8/19/24,20,min,,,Build
Exercise for 20 minutes,8/20/24,20,min,,,Build
Exercise for 20 minutes,8/21/24,20,min,,,Build
Exercise for 20 minutes,8/22/24,20,min,,,Build
Exercise for 20 minutes,8/23/24,20,min,,,Build
Exercise for 20 minutes,8/24/24,20,min,,,Build
Exercise for 20 minutes,8/25/24,20,min,,,Build
Exercise for 20 minutes,8/27/24,20,min,,,Build
Exercise for 20 minutes,8/28/24,20,min,,,Build
Exercise for 20 minutes,9/3/24,20,min,,,Build
Exercise for 20 minutes,9/4/24,20,min,,,Build
Exercise for 20 minutes,9/6/24,20,min,,,Build
Exercise for 20 minutes,9/13/24,20,min,,,Build
Exercise for 20 minutes,9/14/24,20,min,,,Build
Exercise for 20 minutes,9/15/24,20,min,,,Build
Exercise for 20 minutes,9/16/24,20,min,,,Build
Exercise for 20 minutes,9/18/24,20,min,,,Build
Exercise for 20 minutes,9/20/24,20,min,,,Build
Exercise for 20 minutes,9/23/24,20,min,,,Build
Ask Chris what would make her feel more close and whatâ€™s working ,9/1/24,1,count,,,Build
Ask Chris what would make her feel more close and whatâ€™s working ,9/2/24,1,count,"ğŸ˜€ Listen 
Respect 
Nice to see Eva ",,Build
Ask Chris what would make her feel more close and whatâ€™s working ,9/3/24,1,count,,,Build
Ask Chris what would make her feel more close and whatâ€™s working ,9/5/24,1,count,ğŸ˜€ Yes,,Build
Ask Chris what would make her feel more close and whatâ€™s working ,9/6/24,1,count,,,Build
Ask Chris what would make her feel more close and whatâ€™s working ,9/7/24,1,count,,,Build
Ask Chris what would make her feel more close and whatâ€™s working ,9/9/24,1,count,,,Build
Ask Chris what would make her feel more close and whatâ€™s working ,9/10/24,1,count,,,Build
Ask Chris what would make her feel more close and whatâ€™s working ,9/11/24,1,count,,,Build
Ask Chris what would make her feel more close and whatâ€™s working ,9/13/24,1,count,,,Build
Ask Chris what would make her feel more close and whatâ€™s working ,9/16/24,1,count,,,Build
Ask Chris what would make her feel more close and whatâ€™s working ,9/17/24,1,count,,,Build
Ask Chris what would make her feel more close and whatâ€™s working ,9/19/24,1,count,,,Build
Ask Chris what would make her feel more close and whatâ€™s working ,9/20/24,1,count,,,Build
Ask Chris what would make her feel more close and whatâ€™s working ,9/21/24,1,count,ğŸ˜€ Yes.  She was bruised.   Fragile about interactions.  Doesnâ€™t like to be loud   ,,Build
Ask Chris what would make her feel more close and whatâ€™s working ,9/22/24,1,count,,,Build
Ask Chris what would make her feel more close and whatâ€™s working ,9/23/24,1,count,,,Build
"Self check in, two times per day",8/21/24,1,count,ğŸ˜ Pensive,,Build
"Self check in, two times per day",8/22/24,1,count,ğŸ˜€ Frustrated,,Build
"Self check in, two times per day",8/23/24,1,count,ğŸ˜€ Frustrated ,,Build
"Self check in, two times per day",8/24/24,1,count,ğŸ˜€ More relaxed,,Build
"Self check in, two times per day",8/25/24,1,count,ğŸ˜€ Relaxed,,Build
"Self check in, two times per day",8/26/24,1,count,ğŸ˜ Stagnant,,Build
"Self check in, two times per day",8/27/24,1,count,ğŸ˜€ Relaxed/shower,,Build
"Self check in, two times per day",8/28/24,1,count,ğŸ˜€ Sick,,Build
"Self check in, two times per day",8/29/24,1,count,ğŸ˜€ Flu,,Build
"Self check in, two times per day",8/30/24,1,count,ğŸ˜€ Nice felling better,,Build
"Self check in, two times per day",8/31/24,1,count,"ğŸ˜€ Still sick 
Lethargic",,Build
"Self check in, two times per day",9/1/24,1,count,"ğŸ˜€ Sick
Agitated at night ",,Build
"Self check in, two times per day",9/2/24,1,count,ğŸ˜€ Angry,,Build
"Self check in, two times per day",9/3/24,1,count,ğŸ˜€ Bath,,Build
"Self check in, two times per day",9/4/24,1,count,"ğŸ˜€ Relaxed 
Not sick 
",,Build
"Self check in, two times per day",9/5/24,1,count,ğŸ˜€ Calm,,Build
"Self check in, two times per day",9/6/24,1,count,ğŸ˜€ Tired and relaxed ,,Build
"Self check in, two times per day",9/7/24,1,count,ğŸ˜€ Tired,,Build
"Self check in, two times per day",9/8/24,1,count,ğŸ˜€ Relaxed,,Build
"Self check in, two times per day",9/9/24,1,count,,,Build
"Self check in, two times per day",9/10/24,1,count,ğŸ˜€ Calm,,Build
"Self check in, two times per day",9/11/24,1,count,ğŸ˜€ Anxious,,Build
"Self check in, two times per day",9/12/24,1,count,ğŸ˜€ Agitated a little ,,Build
"Self check in, two times per day",9/13/24,1,count,ğŸ˜€ Agitated,,Build
"Self check in, two times per day",9/14/24,1,count,ğŸ˜€ Subdued,,Build
"Self check in, two times per day",9/15/24,1,count,ğŸ˜€ Calm,,Build
"Self check in, two times per day",9/16/24,1,count,ğŸ˜€ Calm and bored,,Build
"Self check in, two times per day",9/17/24,1,count,ğŸ˜€ Calm,,Build
"Self check in, two times per day",9/18/24,1,count,ğŸ˜€ Calm but then upset,,Build
"Self check in, two times per day",9/19/24,1,count,ğŸ˜€ Anxious,,Build
"Self check in, two times per day",9/20/24,1,count,ğŸ˜€ Calm,,Build
"Self check in, two times per day",9/21/24,1,count,ğŸ˜€ Strangely calm considering ,,Build
"Self check in, two times per day",9/22/24,1,count,,,Build
"Self check in, two times per day",9/23/24,1,count,,,Build
Vitamins and drugs ,8/20/24,1,count,,,Build
Vitamins and drugs ,8/21/24,1,count,,,Build
Vitamins and drugs ,8/22/24,1,count,,,Build
Vitamins and drugs ,8/23/24,1,count,,,Build
Vitamins and drugs ,8/24/24,1,count,,,Build
Vitamins and drugs ,8/25/24,1,count,,,Build
Vitamins and drugs ,8/26/24,1,count,,,Build
Vitamins and drugs ,8/27/24,1,count,,,Build
Vitamins and drugs ,8/28/24,1,count,,,Build
Vitamins and drugs ,8/29/24,1,count,,,Build
Vitamins and drugs ,8/30/24,1,count,,,Build
Vitamins and drugs ,8/31/24,1,count,,,Build
Vitamins and drugs ,9/1/24,1,count,,,Build
Vitamins and drugs ,9/2/24,1,count,,,Build
Vitamins and drugs ,9/3/24,1,count,,,Build
Vitamins and drugs ,9/4/24,1,count,,,Build
Vitamins and drugs ,9/5/24,1,count,,,Build
Vitamins and drugs ,9/6/24,1,count,,,Build
Vitamins and drugs ,9/7/24,1,count,,,Build
Vitamins and drugs ,9/8/24,0,count,,,Build
Vitamins and drugs ,9/9/24,1,count,,,Build
Vitamins and drugs ,9/10/24,1,count,,,Build
Vitamins and drugs ,9/11/24,1,count,,,Build
Vitamins and drugs ,9/12/24,1,count,,,Build
Vitamins and drugs ,9/13/24,1,count,,,Build
Vitamins and drugs ,9/15/24,1,count,,,Build
Vitamins and drugs ,9/16/24,1,count,,,Build
Vitamins and drugs ,9/17/24,1,count,,,Build
Vitamins and drugs ,9/18/24,1,count,,,Build
Vitamins and drugs ,9/19/24,1,count,,,Build
Vitamins and drugs ,9/20/24,1,count,,,Build
Vitamins and drugs ,9/21/24,1,count,,,Build
Vitamins and drugs ,9/22/24,1,count,,,Build
Vitamins and drugs ,9/23/24,1,count,,,Build
Low carb and minimal No Sugar,8/20/24,1,count,,,Build
Low carb and minimal No Sugar,8/21/24,1,count,,,Build
Low carb and minimal No Sugar,8/22/24,1,count,,,Build
Low carb and minimal No Sugar,8/23/24,1,count,,,Build
Low carb and minimal No Sugar,8/25/24,1,count,,,Build
Low carb and minimal No Sugar,8/26/24,1,count,,,Build
Low carb and minimal No Sugar,8/28/24,1,count,,,Build
Low carb and minimal No Sugar,8/29/24,1,count,,,Build
Low carb and minimal No Sugar,8/31/24,1,count,,,Build
Low carb and minimal No Sugar,9/1/24,1,count,,,Build
Low carb and minimal No Sugar,9/2/24,1,count,,,Build
Low carb and minimal No Sugar,9/3/24,1,count,,,Build
Low carb and minimal No Sugar,9/4/24,1,count,,,Build
Low carb and minimal No Sugar,9/5/24,1,count,,,Build
Low carb and minimal No Sugar,9/6/24,1,count,,,Build
Low carb and minimal No Sugar,9/7/24,1,count,,,Build
Low carb and minimal No Sugar,9/8/24,1,count,,,Build
Low carb and minimal No Sugar,9/9/24,1,count,,,Build
Low carb and minimal No Sugar,9/10/24,1,count,,,Build
Low carb and minimal No Sugar,9/11/24,1,count,,,Build
Low carb and minimal No Sugar,9/12/24,1,count,,,Build
Low carb and minimal No Sugar,9/13/24,1,count,,,Build
Low carb and minimal No Sugar,9/14/24,1,count,,,Build
Low carb and minimal No Sugar,9/15/24,1,count,,,Build
Low carb and minimal No Sugar,9/16/24,1,count,,,Build
Low carb and minimal No Sugar,9/17/24,1,count,,,Build
Low carb and minimal No Sugar,9/18/24,1,count,,,Build
Low carb and minimal No Sugar,9/19/24,1,count,,,Build
Low carb and minimal No Sugar,9/20/24,1,count,,,Build
Low carb and minimal No Sugar,9/21/24,0,count,,,Build
Low carb and minimal No Sugar,9/22/24,1,count,,,Build
Low carb and minimal No Sugar,9/23/24,1,count,,,Build
Floss and brush teeth,8/7/24,1,count,,,Build
Floss and brush teeth,8/8/24,1,count,,,Build
Floss and brush teeth,8/10/24,1,count,,,Build
Floss and brush teeth,8/11/24,1,count,,,Build
Floss and brush teeth,8/12/24,1,count,,,Build
Floss and brush teeth,8/14/24,1,count,,,Build
Floss and brush teeth,8/15/24,1,count,,,Build
Floss and brush teeth,8/16/24,1,count,,,Build
Floss and brush teeth,8/17/24,1,count,,,Build
Floss and brush teeth,8/18/24,1,count,,,Build
Floss and brush teeth,8/19/24,1,count,,,Build
Floss and brush teeth,8/20/24,1,count,,,Build
Floss and brush teeth,8/21/24,1,count,,,Build
Floss and brush teeth,8/22/24,1,count,,,Build
Floss and brush teeth,8/23/24,1,count,,,Build
Floss and brush teeth,8/24/24,1,count,,,Build
Floss and brush teeth,8/25/24,1,count,,,Build
Floss and brush teeth,8/26/24,1,count,,,Build
Floss and brush teeth,8/27/24,1,count,,,Build
Floss and brush teeth,8/28/24,1,count,,,Build
Floss and brush teeth,8/29/24,1,count,,,Build
Floss and brush teeth,8/30/24,1,count,,,Build
Floss and brush teeth,8/31/24,1,count,,,Build
Floss and brush teeth,9/1/24,1,count,,,Build
Floss and brush teeth,9/3/24,1,count,,,Build
Floss and brush teeth,9/4/24,1,count,,,Build
Floss and brush teeth,9/5/24,1,count,,,Build
Floss and brush teeth,9/6/24,1,count,,,Build
Floss and brush teeth,9/7/24,1,count,,,Build
Floss and brush teeth,9/8/24,1,count,,,Build
Floss and brush teeth,9/9/24,1,count,,,Build
Floss and brush teeth,9/10/24,1,count,,,Build
Floss and brush teeth,9/11/24,1,count,,,Build
Floss and brush teeth,9/12/24,1,count,,,Build
Floss and brush teeth,9/13/24,1,count,,,Build
Floss and brush teeth,9/14/24,1,count,,,Build
Floss and brush teeth,9/15/24,1,count,,,Build
Floss and brush teeth,9/16/24,1,count,,,Build
Floss and brush teeth,9/17/24,1,count,,,Build
Floss and brush teeth,9/18/24,1,count,,,Build
Floss and brush teeth,9/19/24,1,count,,,Build
Floss and brush teeth,9/20/24,1,count,,,Build
Floss and brush teeth,9/21/24,1,count,,,Build
Floss and brush teeth,9/23/24,1,count,,,Build
Take Blood Pressure ,8/5/24,0,count,,,Build
Take Blood Pressure ,8/6/24,1,count,,,Build
Take Blood Pressure ,8/7/24,1,count,,,Build
Take Blood Pressure ,8/8/24,1,count,,,Build
Take Blood Pressure ,8/11/24,1,count,,,Build
Take Blood Pressure ,8/12/24,1,count,,,Build
Take Blood Pressure ,8/13/24,1,count,,,Build
Take Blood Pressure ,8/14/24,1,count,,,Build
Take Blood Pressure ,8/15/24,1,count,,,Build
Take Blood Pressure ,8/16/24,1,count,,,Build
Take Blood Pressure ,8/17/24,1,count,,,Build
Take Blood Pressure ,8/18/24,1,count,,,Build
Take Blood Pressure ,8/19/24,1,count,,,Build
Take Blood Pressure ,8/20/24,1,count,"ğŸ˜€ 135/75,71",,Build
Take Blood Pressure ,8/21/24,1,count,"ğŸ˜€ 139/80,73",,Build
Take Blood Pressure ,8/22/24,1,count,"ğŸ˜€ 150/89,forgot morning drugs ",,Build
Take Blood Pressure ,8/23/24,1,count,ğŸ˜€ 130/80,,Build
Take Blood Pressure ,8/24/24,1,count,ğŸ˜€ 130/70,,Build
Take Blood Pressure ,8/25/24,1,count,ğŸ˜€ 150/80,,Build
Take Blood Pressure ,8/26/24,1,count,ğŸ˜€ 150/90,,Build
Take Blood Pressure ,8/27/24,1,count,ğŸ˜€ 125/70,,Build
Take Blood Pressure ,8/28/24,1,count,ğŸ˜€ 155/95,,Build
Take Blood Pressure ,8/29/24,1,count,ğŸ˜€ 145/85,,Build
Take Blood Pressure ,8/30/24,1,count,ğŸ˜€ 140/80,,Build
Take Blood Pressure ,8/31/24,1,count,ğŸ˜€ 142/84,,Build
Take Blood Pressure ,9/1/24,1,count,ğŸ˜€ 148/88,,Build
Take Blood Pressure ,9/3/24,1,count,ğŸ˜€ 128/73,,Build
Take Blood Pressure ,9/4/24,1,count,ğŸ˜€ 120/70,,Build
Take Blood Pressure ,9/5/24,1,count,ğŸ˜€ 130/75,,Build
Take Blood Pressure ,9/6/24,1,count,ğŸ˜€ 130/75,,Build
Take Blood Pressure ,9/7/24,1,count,ğŸ˜€ 125/75,,Build
Take Blood Pressure ,9/8/24,1,count,ğŸ˜€ 140/80,,Build
Take Blood Pressure ,9/10/24,1,count,ğŸ˜€ 135/80,,Build
Take Blood Pressure ,9/11/24,1,count,ğŸ˜€ 120/70,,Build
Take Blood Pressure ,9/12/24,1,count,ğŸ˜€ 140/80,,Build
Take Blood Pressure ,9/13/24,1,count,ğŸ˜€  150/80,,Build
Take Blood Pressure ,9/14/24,1,count,"ğŸ˜€ 130/80, forgot morning medicine ",,Build
Take Blood Pressure ,9/15/24,1,count,ğŸ˜€ 130/66,,Build
Take Blood Pressure ,9/16/24,1,count,ğŸ˜€ 145/75,,Build
Take Blood Pressure ,9/17/24,1,count,ğŸ˜€ 116/70,,Build
Take Blood Pressure ,9/18/24,1,count,ğŸ˜€ 135/75,,Build
Take Blood Pressure ,9/19/24,1,count,ğŸ˜€ 150/80,,Build
Take Blood Pressure ,9/20/24,1,count,ğŸ˜€ 118/70,,Build
Take Blood Pressure ,9/21/24,1,count,ğŸ˜€ 140/75,,Build
Take Blood Pressure ,9/22/24,1,count,ğŸ˜€ 130/70,,Build
Take Blood Pressure ,9/23/24,1,count,ğŸ˜€ 144/85,,Build